,f1,f2,f3,f4,f5
90,-0.762323,0.914899,-0.198492,-0.275421,-0.569962
15,0.528104,0.322611,-0.198492,-0.179383,-0.332009
99,0.867689,-0.010552,-0.261514,-0.261701,-0.527971
46,-0.218985,-0.269678,-0.387559,-0.289141,-0.332009
56,0.731855,-0.936003,-0.63965,0.520325,5.168906
36,-1.373577,0.507701,0.368712,-0.426339,-0.513973
19,-0.151068,-1.102584,-0.576627,-0.220542,-0.346007
55,2.429784,2.247549,0.746847,-0.261701,-0.457984
105,0.935607,-0.084588,-0.324537,-0.31658,-0.234029
68,-0.490654,-0.565823,0.053599,-0.3303,-0.234029
91,-0.218985,-0.380732,-0.072447,-0.179383,-0.611954
95,-0.218985,-0.824949,-0.702672,-0.31658,-0.415993
74,0.460186,-0.713895,-0.576627,0.204771,1.473635
67,0.120601,-0.177133,-0.324537,-0.234262,-0.499976
81,1.546861,-1.38022,-0.828718,0.918199,0.115902
60,0.120601,0.211556,0.116621,-0.31658,-0.080059
102,-0.694405,-0.195642,-0.450582,-0.179383,-0.58396
84,2.226033,-1.417238,-0.513605,0.726122,0.507825
21,-0.558571,0.063484,0.179644,-0.31658,-0.27602
18,0.052683,-0.473277,-0.513605,-0.138223,-0.27602
27,0.731855,0.507701,-0.387559,-0.261701,-0.038067
100,0.392269,-0.380732,-0.324537,-0.220542,-0.471982
85,0.120601,0.044975,-0.198492,-0.302861,-0.220031
11,0.188518,0.322611,0.116621,-0.31658,-0.010073
2,1.478944,-0.121606,-0.261514,-0.385179,-0.094056
70,-1.033991,-0.23266,-0.387559,-0.3303,-0.164042
80,0.324352,0.174538,-0.261514,-0.3303,-0.220031
78,0.460186,0.081993,-0.828718,-0.151943,0.101905
37,-0.35482,-0.936003,-0.450582,-0.275421,0.157894
43,1.411027,-1.602328,-0.954763,1.274913,-0.136048
9,0.392269,-0.639859,-0.387559,-0.302861,-0.052065
104,-2.188583,2.80282,1.503118,-0.275421,-0.555965
40,-0.151068,-0.23266,-0.89174,-0.302861,-0.220031
6,1.207275,-0.140115,0.116621,-0.302861,0.017922
17,-0.083151,-0.325205,-0.198492,-0.234262,-0.42999
53,-0.422737,-0.898985,-0.450582,-0.261701,0.395847
72,0.867689,-0.010552,0.179644,-0.3303,-0.122051
83,-0.151068,-0.140115,0.053599,-0.234262,-0.541968
61,0.663938,0.378138,-0.387559,-0.302861,-0.220031
29,0.799772,-0.62135,-0.135469,-0.261701,-0.27602
10,0.052683,0.415156,0.116621,-0.206822,-0.42999
16,-0.35482,-0.121606,0.494757,-0.247982,-0.555965
88,0.256435,-0.787931,-0.261514,-0.165663,-0.360004
35,0.256435,-1.398729,-0.89174,5.185046,2.117508
45,-0.151068,-0.639859,-0.387559,-0.275421,0.003924
38,0.799772,-1.250656,-0.198492,0.588924,2.467439
44,-0.35482,-0.010552,-0.513605,-0.34402,-0.527971
75,0.188518,-0.436259,-0.072447,-0.193103,0.031919
87,-0.286902,-0.750913,-0.198492,-0.371459,-0.42999
65,2.090198,-1.102584,-0.89174,0.149892,0.339858
31,-0.151068,-0.140115,-0.261514,-0.31658,-0.108053
106,0.460186,0.044975,-0.198492,-0.220542,-0.262023
89,-0.218985,-0.121606,-0.198492,-0.220542,-0.038067
39,-0.218985,0.34112,0.746847,-0.289141,-0.541968
52,1.750613,-1.528292,-0.954763,2.084379,0.605806
20,-1.30566,0.766827,1.251028,-0.371459,-0.513973
64,0.324352,0.248574,-0.387559,-0.179383,-0.136048
77,-1.916914,2.377112,4.969361,-0.31658,-0.555965
79,0.120601,-0.325205,-0.450582,-0.302861,-0.27602
58,-0.422737,-0.121606,-0.450582,-0.289141,-0.318012
62,0.324352,-0.04757,0.620802,-0.165663,0.283869
13,-0.694405,-0.288187,-0.324537,-0.220542,0.297867
0,0.596021,0.378138,-0.135469,-0.275421,0.003924
66,0.528104,-0.436259,-0.450582,-0.289141,-0.02407
3,-0.151068,-0.103097,0.179644,-0.302861,-0.360004
34,-1.30566,2.525184,2.070322,-0.371459,-0.527971
22,-0.218985,1.340607,-0.324537,-0.398899,-0.485979
26,-1.645246,2.099477,0.368712,-0.289141,-0.625951
30,-2.935672,2.80282,2.322412,-0.261701,-0.513973
5,-1.645246,1.544206,1.440096,-0.289141,-0.58396
25,0.663938,-0.676877,-0.513605,-0.206822,1.067715
8,-0.83024,-0.140115,-0.387559,-0.302861,-0.108053
14,-0.218985,-0.528805,-0.387559,-0.234262,-0.555965
69,1.682695,-0.084588,0.494757,-0.3303,-0.27602
32,-0.151068,-0.140115,-0.387559,-0.3303,-0.471982
73,-0.490654,-0.639859,-0.513605,-0.302861,0.255875
24,1.207275,-1.787418,-1.206853,1.233753,0.689789
1,-2.799838,2.432639,3.330773,-0.193103,-0.625951
33,-1.984832,1.636751,2.133344,-0.31658,-0.499976
94,0.799772,0.044975,-0.009424,-0.289141,-0.290018
96,0.052683,-0.029061,-0.513605,-0.193103,0.059913
71,0.799772,0.415156,0.179644,-0.3303,-0.27602
23,0.731855,-1.731891,-0.89174,7.29789,2.481436
103,0.188518,-0.325205,-0.387559,-0.3303,-0.374001
28,-0.083151,0.674282,-0.387559,-0.302861,-0.27602
57,0.188518,-0.195642,-0.261514,-0.275421,0.031919
47,-0.422737,-0.473277,-0.198492,-0.165663,-0.192037
97,-1.169826,-0.399241,-0.261514,-0.151943,0.101905
92,0.460186,0.951917,0.116621,-0.165663,-0.262023
