117	12.2	1.9	1.2	3.9	1
67	23.3	7.4	1.8	-0.6	2
130	9.5	1.7	0.4	3.2	1
106	9.6	2.4	1	1.3	1
94	7.5	1.2	1.3	4.4	1
84	18.5	4.4	1.1	-0.3	2
126	9.4	2.3	1	4	1
65	18.2	10	1.3	0.1	2
96	9.4	1.5	1	3.1	1
114	6.7	1.5	1	3.5	1
109	12.4	2.3	1.7	0.8	1
111	11.9	2.3	0.9	3.8	1
123	1.9	0.3	22.8	22.2	3
98	8.6	1.6	1.6	6	1
105	7.3	1.5	1.5	-0.1	1
116	11.9	1.8	1.9	1.5	1
103	9.5	2.9	1.4	-0.1	1
107	8.4	1.8	1.5	0.8	1
109	7.6	1.3	2.2	1.9	1
106	4.2	1.2	1.6	1.4	1
89	14.3	4.1	0.5	0.2	2
100	10.5	2.4	0.9	1.9	1
105	17.4	1.6	0.3	0.4	2
119	0.8	0.7	56.4	21.6	3
126	0.5	0.2	12.2	8.8	3
118	6.5	1.3	1.7	11.5	3
84	21.5	2.7	1.1	-0.6	2
119	12.9	1.5	1.3	3.6	1
107	13.8	1.5	1	1.9	1
120	6.8	1.9	1.3	1.9	1
65	25.3	5.8	1.3	0.2	2
106	9.4	1.7	0.9	3.1	1
106	9.4	1.5	0.8	0.5	1
79	19	5.5	0.9	0.3	2
89	23.8	5.4	0.5	0.1	2
112	2.6	0.7	41	19	3
88	12.9	2.7	0.1	0.2	2
103	5.1	1.4	1.2	5	3
120	3.4	1.8	7.5	21.5	3
105	12	3.3	1.1	0	2
106	8.9	0.7	1	2.3	1
103	8.1	1.4	0.5	3.8	1
134	2	0.5	12.2	2.2	3
129	1.5	0.6	12.5	2.9	3
103	10.1	1.3	0.7	0.1	1
106	6.7	1.5	1.2	3.9	1
105	8.7	1.5	1.1	1.5	1
102	7.6	1.8	2	2.5	1
118	3.6	1.5	11.6	48.8	3
106	13.4	3	1.1	0	2
112	9.5	2	1.2	0.7	1
105	11.1	2	1	1	1
134	1.9	0.6	18.4	8.2	3
102	5.3	1.4	1.3	6.7	3
112	10.6	1.6	0.9	-0.1	1
144	22.3	3.3	1.3	0.6	2
119	5.1	1.1	7	40.8	3
111	9.1	1.7	1.2	4.1	1
102	9.5	1.4	1.1	1.6	1
108	10.4	2.1	1.3	2.4	1
110	11.3	2.3	0.9	3.3	1
118	12.2	1.5	1	2.3	1
113	9.9	3.1	2	5.9	1
95	11.1	2.7	1.6	-0.3	2
113	11.5	1.5	1.9	2.9	1
139	4.2	0.7	4.3	6.3	3
116	7.8	1.4	1.1	3.7	1
110	9.2	1.6	1.5	0.3	1
101	7.1	2.2	0.8	2.2	1
133	9.7	2.9	0.8	1.9	1
93	8.9	1.5	0.8	2.7	1
120	12.4	2.4	0.8	1.9	1
121	10.1	2.4	0.8	3	1
101	6.7	1.3	1	5.7	1
115	6.3	1.2	4.7	14.4	3
111	7.8	2	1.8	4.1	1
88	24.1	5.5	0.8	0.1	2
80	23	10	0.9	-0.1	2
115	10.6	0.8	2.1	4.6	1
110	8.4	1.4	1	1.9	1
113	11.1	1.7	0.8	2.3	1
131	2.7	0.8	9.9	4.7	3
94	20.5	1.8	1.4	-0.5	2
106	9.4	2.2	1.5	0	1
141	2.5	1.3	8.5	7.5	3
110	10.4	1.8	1	2.3	1
113	17.2	1.8	1	0	2
104	6.1	1.8	0.5	0.8	1
112	5.9	1.7	2	1.3	1
105	9.5	1.8	1.6	3.6	1
97	15.1	1.8	1.2	-0.2	2
105	8.1	2	1.9	-0.5	1
115	15.3	2.3	2	2	1
126	10.4	1.7	1.2	3.5	1
120	10.4	2.1	1.1	1.8	1
105	5.7	1	0.9	0.9	1
109	10	1.3	1.8	4.3	1
91	8	1.7	2.1	4.6	1
112	6.8	1.7	1.4	3.3	1
121	10.1	1.7	1.3	0.1	1
114	8.1	1.6	1.6	0.5	1
105	7	1.5	2.7	4.3	1
98	9.1	1.4	1.9	-0.3	1
111	8.4	1.5	0.8	1.2	1
76	25.3	4.5	1.2	-0.1	2
122	9.7	1.6	0.9	2.2	1
115	10.4	1.8	1.6	2	1
